timestamp,L_hip_joint,L_hip2_joint,L_thigh_joint,L_calf_joint,L_toe_joint
0.000000,0.008520,0.020543,-0.297864,-0.211131,0.508704
0.002000,0.008535,0.020555,-0.299549,-0.208620,0.507878
0.004000,0.008550,0.020567,-0.301230,-0.206108,0.507046
0.006000,0.008564,0.020580,-0.302906,-0.203592,0.506206
0.008000,0.008579,0.020592,-0.304578,-0.201073,0.505359
0.010000,0.008593,0.020605,-0.306244,-0.198553,0.504505
0.012000,0.008608,0.020618,-0.307906,-0.196030,0.503643
0.014000,0.008622,0.020631,-0.309563,-0.193505,0.502775
0.016000,0.008637,0.020644,-0.311215,-0.190977,0.501899
0.018000,0.008651,0.020657,-0.312862,-0.188448,0.501017
0.020000,0.008665,0.020670,-0.314503,-0.185917,0.500127
0.022000,0.008665,0.020688,-0.316144,-0.183375,0.499214
0.024000,0.008693,0.020696,-0.317772,-0.180848,0.498327
0.026000,0.008707,0.020710,-0.319398,-0.178312,0.497416
0.028000,0.008720,0.020724,-0.321019,-0.175773,0.496498
0.030000,0.008734,0.020737,-0.322634,-0.173232,0.495573
0.032000,0.008748,0.020751,-0.324244,-0.170691,0.494641
0.034000,0.008761,0.020765,-0.325849,-0.168147,0.493701
0.036000,0.008774,0.020779,-0.327447,-0.165603,0.492755
0.038000,0.008788,0.020793,-0.329041,-0.163057,0.491802
0.040000,0.008801,0.020807,-0.330627,-0.160510,0.490842
0.042000,0.008814,0.020821,-0.332209,-0.157962,0.489875
0.044000,0.008827,0.020836,-0.333784,-0.155413,0.488901
0.046000,0.008840,0.020850,-0.335353,-0.152862,0.487920
0.048000,0.008853,0.020865,-0.336917,-0.150311,0.486932
0.050000,0.008865,0.020880,-0.338474,-0.147759,0.485938
0.052000,0.008878,0.020895,-0.340026,-0.145206,0.484935
0.054000,0.008890,0.020910,-0.341571,-0.142652,0.483926
0.056000,0.008903,0.020924,-0.343109,-0.140099,0.482911
0.058000,0.008915,0.020940,-0.344641,-0.137544,0.481888
0.060000,0.008927,0.020955,-0.346167,-0.134989,0.480859
0.062000,0.008939,0.020970,-0.347686,-0.132433,0.479822
0.064000,0.008951,0.020986,-0.349199,-0.129878,0.478779
0.066000,0.008963,0.021001,-0.350704,-0.127322,0.477729
0.068000,0.008974,0.021017,-0.352203,-0.124766,0.476671
0.070000,0.008986,0.021033,-0.353696,-0.122210,0.475608
0.072000,0.008998,0.021048,-0.355181,-0.119654,0.474537
0.074000,0.009009,0.021064,-0.356660,-0.117098,0.473459
0.076000,0.009020,0.021080,-0.358131,-0.114542,0.472375
0.078000,0.009031,0.021097,-0.359595,-0.111987,0.471283
0.080000,0.009042,0.021113,-0.361053,-0.109431,0.470185
0.082000,0.009053,0.021129,-0.362503,-0.106876,0.469080
0.084000,0.009064,0.021146,-0.363945,-0.104323,0.467968
0.086000,0.009060,0.021167,-0.365384,-0.101762,0.466833
0.088000,0.009085,0.021179,-0.366809,-0.099215,0.465725
0.090000,0.009095,0.021196,-0.368229,-0.096663,0.464592
0.092000,0.009106,0.021213,-0.369642,-0.094112,0.463453
0.094000,0.009102,0.021234,-0.371050,-0.091554,0.462291
0.096000,0.009126,0.021247,-0.372445,-0.089011,0.461156
0.098000,0.009121,0.021269,-0.373837,-0.086456,0.459979
0.100000,0.009145,0.021281,-0.375217,-0.083915,0.458831
0.102000,0.009155,0.021299,-0.376591,-0.081369,0.457658
0.104000,0.009165,0.021316,-0.377957,-0.078824,0.456479
0.106000,0.009174,0.021334,-0.379315,-0.076280,0.455293
0.108000,0.009183,0.021351,-0.380665,-0.073737,0.454100
0.110000,0.009192,0.021369,-0.382006,-0.071197,0.452901
0.112000,0.009201,0.021387,-0.383340,-0.068658,0.451695
0.114000,0.009210,0.021405,-0.384665,-0.066120,0.450482
0.116000,0.009219,0.021423,-0.385981,-0.063584,0.449263
0.118000,0.009227,0.021442,-0.387290,-0.061050,0.448037
0.120000,0.009222,0.021464,-0.388592,-0.058511,0.446787
0.122000,0.009244,0.021478,-0.389881,-0.055988,0.445566
0.124000,0.009252,0.021497,-0.391164,-0.053459,0.444320
0.126000,0.009260,0.021515,-0.392438,-0.050933,0.443068
0.128000,0.009268,0.021534,-0.393702,-0.048410,0.441809
0.130000,0.009262,0.021557,-0.394961,-0.045882,0.440526
0.132000,0.009283,0.021572,-0.396206,-0.043369,0.439271
0.134000,0.009290,0.021591,-0.397444,-0.040853,0.437993
0.136000,0.009297,0.021610,-0.398674,-0.038338,0.436708
0.138000,0.009291,0.021633,-0.399896,-0.035820,0.435398
0.140000,0.009311,0.021649,-0.401105,-0.033317,0.434118
0.142000,0.009318,0.021668,-0.402307,-0.030811,0.432813
0.144000,0.009325,0.021688,-0.403499,-0.028308,0.431502
0.146000,0.009331,0.021707,-0.404683,-0.025807,0.430184
0.148000,0.009325,0.021730,-0.405859,-0.023302,0.428842
0.150000,0.009343,0.021747,-0.407020,-0.020815,0.427530
0.152000,0.009349,0.021767,-0.408175,-0.018324,0.426193
0.154000,0.009343,0.021790,-0.409323,-0.015828,0.424831
0.156000,0.009361,0.021807,-0.410455,-0.013351,0.423500
0.158000,0.009366,0.021827,-0.411581,-0.010869,0.422143
0.160000,0.009359,0.021850,-0.412699,-0.008384,0.420762
0.162000,0.009377,0.021868,-0.413802,-0.005917,0.419412
0.164000,0.009381,0.021888,-0.414898,-0.003446,0.418037
0.166000,0.009386,0.021909,-0.415983,-0.000979,0.416655
0.168000,0.009391,0.021930,-0.417059,0.001485,0.415267
0.170000,0.009384,0.021953,-0.418127,0.003951,0.413854
0.172000,0.009399,0.021971,-0.419180,0.006400,0.412472
0.174000,0.009403,0.021992,-0.420225,0.008852,0.411065
0.176000,0.009407,0.022013,-0.421259,0.011300,0.409652
0.178000,0.009411,0.022035,-0.422284,0.013743,0.408233
0.180000,0.009415,0.022056,-0.423297,0.016182,0.406808
0.182000,0.009418,0.022077,-0.424300,0.018617,0.405376
0.184000,0.009411,0.022100,-0.425296,0.021055,0.403918
0.186000,0.009424,0.022120,-0.426275,0.023474,0.402493
0.188000,0.009427,0.022142,-0.427246,0.025895,0.401043
0.190000,0.009428,0.022164,-0.428207,0.028314,0.399583
0.192000,0.009432,0.022185,-0.429156,0.030724,0.398124
0.194000,0.009434,0.022207,-0.430095,0.033132,0.396655
0.196000,0.009436,0.022229,-0.431023,0.035534,0.395180
0.198000,0.009438,0.022251,-0.431939,0.037931,0.393699
0.200000,0.009440,0.022273,-0.432845,0.040324,0.392212
0.202000,0.009441,0.022296,-0.433739,0.042711,0.390719
0.204000,0.009443,0.022318,-0.434623,0.045094,0.389220
0.206000,0.009444,0.022340,-0.435495,0.047471,0.387715
0.208000,0.009444,0.022363,-0.436356,0.049843,0.386204
0.210000,0.009445,0.022385,-0.437205,0.052209,0.384687
0.212000,0.009446,0.022408,-0.438043,0.054570,0.383164
0.214000,0.009446,0.022431,-0.438869,0.056925,0.381635
0.216000,0.009446,0.022454,-0.439684,0.059274,0.380100
0.218000,0.009446,0.022476,-0.440487,0.061618,0.378559
0.220000,0.009445,0.022499,-0.441279,0.063956,0.377013
0.222000,0.009445,0.022522,-0.442058,0.066288,0.375460
